Local time,Open,High,Low,Close,Volume
22.09.2019 11:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 12:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 13:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 14:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 15:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 16:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 17:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 18:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 19:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 20:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 21:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 22:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 23:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
23.09.2019 00:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
23.09.2019 01:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
23.09.2019 02:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
23.09.2019 03:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
23.09.2019 04:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
23.09.2019 05:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
23.09.2019 06:00:00.000 GMT+0900,107.714,107.752,107.667,107.721,682.03
23.09.2019 07:00:00.000 GMT+0900,107.722,107.755,107.650,107.684,3738.01
23.09.2019 08:00:00.000 GMT+0900,107.682,107.727,107.608,107.653,6174.0098
23.09.2019 09:00:00.000 GMT+0900,107.653,107.708,107.629,107.692,4444.23
23.09.2019 10:00:00.000 GMT+0900,107.692,107.755,107.686,107.691,4184.54
23.09.2019 11:00:00.000 GMT+0900,107.692,107.716,107.669,107.690,3367.6699
23.09.2019 12:00:00.000 GMT+0900,107.690,107.713,107.676,107.705,2762.6799
23.09.2019 13:00:00.000 GMT+0900,107.704,107.737,107.704,107.719,1765.09
23.09.2019 14:00:00.000 GMT+0900,107.716,107.730,107.695,107.709,2957.5
23.09.2019 15:00:00.000 GMT+0900,107.712,107.746,107.707,107.729,5592.5898
23.09.2019 16:00:00.000 GMT+0900,107.729,107.768,107.508,107.511,18362.1191
23.09.2019 17:00:00.000 GMT+0900,107.512,107.549,107.310,107.356,14260.9199
23.09.2019 18:00:00.000 GMT+0900,107.356,107.513,107.345,107.498,9664.1504
23.09.2019 19:00:00.000 GMT+0900,107.497,107.497,107.425,107.457,5567.6099
23.09.2019 20:00:00.000 GMT+0900,107.458,107.485,107.420,107.456,5648.1802
23.09.2019 21:00:00.000 GMT+0900,107.455,107.546,107.453,107.531,5867.71
23.09.2019 22:00:00.000 GMT+0900,107.531,107.552,107.415,107.424,13603.8604
23.09.2019 23:00:00.000 GMT+0900,107.424,107.446,107.346,107.359,10892.0801
