Local time,Open,High,Low,Close,Volume
12.09.2019 01:00:00.000 GMT+0900,107.734,107.801,107.722,107.765,5153.7598
12.09.2019 02:00:00.000 GMT+0900,107.765,107.801,107.741,107.754,5465.1899
12.09.2019 03:00:00.000 GMT+0900,107.754,107.800,107.752,107.779,4524.4399
12.09.2019 04:00:00.000 GMT+0900,107.779,107.837,107.769,107.828,3333.02
12.09.2019 05:00:00.000 GMT+0900,107.826,107.855,107.796,107.796,2456.49
12.09.2019 06:00:00.000 GMT+0900,107.796,107.823,107.783,107.812,9955.4502
12.09.2019 07:00:00.000 GMT+0900,107.812,107.840,107.794,107.814,1412.01
12.09.2019 08:00:00.000 GMT+0900,107.814,108.047,107.776,108.014,10617.54
12.09.2019 09:00:00.000 GMT+0900,108.015,108.058,107.947,108.047,11781.8203
12.09.2019 10:00:00.000 GMT+0900,108.047,108.101,108.020,108.020,8353.6299
12.09.2019 11:00:00.000 GMT+0900,108.019,108.044,107.995,108.038,10251.0898
12.09.2019 12:00:00.000 GMT+0900,108.038,108.167,108.021,108.094,6768.8101
12.09.2019 13:00:00.000 GMT+0900,108.093,108.136,108.057,108.074,6099.0098
12.09.2019 14:00:00.000 GMT+0900,108.074,108.084,107.975,108.006,7221.3799
12.09.2019 15:00:00.000 GMT+0900,108.007,108.036,107.954,107.986,7016.25
12.09.2019 16:00:00.000 GMT+0900,107.986,108.011,107.897,107.908,10292.6602
12.09.2019 17:00:00.000 GMT+0900,107.908,107.922,107.822,107.863,7144.2998
12.09.2019 18:00:00.000 GMT+0900,107.862,107.881,107.819,107.857,6346.7798
12.09.2019 19:00:00.000 GMT+0900,107.857,107.901,107.857,107.881,5929.8999
12.09.2019 20:00:00.000 GMT+0900,107.880,107.890,107.691,107.749,13930.54
12.09.2019 21:00:00.000 GMT+0900,107.749,107.810,107.521,107.703,28152.5703
12.09.2019 22:00:00.000 GMT+0900,107.704,107.816,107.635,107.764,26087.7891
12.09.2019 23:00:00.000 GMT+0900,107.764,108.086,107.655,107.901,29370.8398
13.09.2019 00:00:00.000 GMT+0900,107.900,108.086,107.820,107.975,18426.9609
13.09.2019 01:00:00.000 GMT+0900,107.975,108.092,107.931,108.029,9135.9404
13.09.2019 02:00:00.000 GMT+0900,108.030,108.094,108.018,108.092,9270.1396
13.09.2019 03:00:00.000 GMT+0900,108.093,108.163,108.060,108.151,6766.8701
13.09.2019 04:00:00.000 GMT+0900,108.149,108.187,108.124,108.136,4158.0298
13.09.2019 05:00:00.000 GMT+0900,108.138,108.147,108.057,108.076,2842.1001
13.09.2019 06:00:00.000 GMT+0900,108.055,108.146,108.029,108.074,9067.8096
13.09.2019 07:00:00.000 GMT+0900,108.074,108.190,108.074,108.155,2811.8799
13.09.2019 08:00:00.000 GMT+0900,108.153,108.192,108.146,108.183,2986.72
13.09.2019 09:00:00.000 GMT+0900,108.186,108.232,108.106,108.216,9761.1104
13.09.2019 10:00:00.000 GMT+0900,108.216,108.259,108.174,108.175,6301.54
13.09.2019 11:00:00.000 GMT+0900,108.175,108.201,108.145,108.180,3726.48
13.09.2019 12:00:00.000 GMT+0900,108.182,108.184,108.144,108.171,3027.9199
13.09.2019 13:00:00.000 GMT+0900,108.171,108.171,108.116,108.133,4404.8198
13.09.2019 14:00:00.000 GMT+0900,108.133,108.150,108.097,108.117,5005.1802
13.09.2019 15:00:00.000 GMT+0900,108.114,108.115,107.965,107.978,9434.4199
13.09.2019 16:00:00.000 GMT+0900,107.981,108.067,107.906,107.956,12703.0898
13.09.2019 17:00:00.000 GMT+0900,107.955,108.033,107.945,107.986,9239.5498
13.09.2019 18:00:00.000 GMT+0900,107.986,108.079,107.945,107.984,12093.5498
13.09.2019 19:00:00.000 GMT+0900,107.983,108.021,107.966,108.004,6108.8101
13.09.2019 20:00:00.000 GMT+0900,108.003,108.021,107.952,107.965,4566.2202
13.09.2019 21:00:00.000 GMT+0900,107.968,108.137,107.945,108.121,13158.8301
13.09.2019 22:00:00.000 GMT+0900,108.119,108.139,107.996,108.056,13464.3203
13.09.2019 23:00:00.000 GMT+0900,108.056,108.137,108.035,108.072,17190.1309
14.09.2019 00:00:00.000 GMT+0900,108.072,108.154,108.047,108.122,9315.8799
14.09.2019 01:00:00.000 GMT+0900,108.122,108.179,108.106,108.121,7612.48
14.09.2019 02:00:00.000 GMT+0900,108.123,108.139,108.067,108.067,8293.1504
14.09.2019 03:00:00.000 GMT+0900,108.067,108.155,108.066,108.137,5495.1499
14.09.2019 04:00:00.000 GMT+0900,108.137,108.139,108.092,108.112,5690.6699
14.09.2019 05:00:00.000 GMT+0900,108.113,108.132,108.055,108.057,3456.95
14.09.2019 06:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 07:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 08:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 09:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 10:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 11:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 12:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 13:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 14:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 15:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 16:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 17:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 18:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 19:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 20:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 21:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 22:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
14.09.2019 23:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 00:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
